Taxonomy	Last.taxonomic.level	Species.found.in.Metatranscriptomic.dataset.(Monjot.et.al.2023)	Trophic.modes	Type_1	Type_2	Description_of_mixotrophy	Description_of_endophytic_interaction	Description_of_biotic_interaction_and_pathology	Host.symbiont	References_1	References_2	References_3	References_4	Retained_in_the_analysis
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_/f_/g_	Leotiomycetes		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_/f_Myxotrichaceae/g_	Myxotrichaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_/f_Myxotrichaceae/g_Amorphotheca	Amorphotheca	Amorphotheca resinae	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_/f_Myxotrichaceae/g_Oidiodendron	Oidiodendron	Oidiodendron maius	SAP							https://doi.org/10.3114/sim.53.1.83				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_/f_Pseudeurotiaceae/g_Pseudogymnoascus	Pseudogymnoascus	Pseudogymnoascus destructans + Pseudogymnoascus sp. 03VT05 + Pseudogymnoascus sp. 05NY08 + Pseudogymnoascus sp. 23342-1-I1 + Pseudogymnoascus sp. 24MN13 + Pseudogymnoascus sp. VKM F-103 + Pseudogymnoascus sp. VKM F-3557 + Pseudogymnoascus sp. VKM F-3775 + Pseudogymnoascus sp. VKM F-3808 + Pseudogymnoascus sp. VKM F-4246 + Pseudogymnoascus sp. VKM F-4281 (FW-2241) + Pseudogymnoascus sp. VKM F-4513 (FW-928) + Pseudogymnoascus sp. VKM F-4515 (FW-2607) + Pseudogymnoascus sp. VKM F-4516 (FW-969) + Pseudogymnoascus sp. VKM F-4517 (FW-2822) + Pseudogymnoascus sp. VKM F-4518 (FW-2643) + Pseudogymnoascus sp. VKM F-4519 (FW-2642) + Pseudogymnoascus sp. VKM F-4520 (FW-2644) + Pseudogymnoascus sp. WSF 3629 + Pseudogymnoascus verrucosus	PARA	Obligate				White-nose syndrome	Bat	https://doi.org/10.1038/s41598-020-80707-1				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Erysiphales/f_Erysiphaceae/g_	Erysiphaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Erysiphales/f_Erysiphaceae/g_Blumeria	Blumeria	Blumeria graminis	PARA	Obligate	Endophyte		Biotrophic	Powdery mildew of grasses and cereals	Phytopathogen	https://doi.org/10.3389/fpls.2016.00742				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Erysiphales/f_Erysiphaceae/g_Erysiphe	Erysiphe	Erysiphe necator + Erysiphe pulchra	PARA	Obligate	Endophyte		Biotrophic	Powdery mildew	Phytopathogen	https://www.jstor.org/stable/42683826	https://doi.org/10.1094/PDIS-93-3-0320C	http://dx.doi.org/10.1111/j.1439-0329.2004.00374.x		Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Erysiphales/f_Erysiphaceae/g_Golovinomyces	Golovinomyces	Golovinomyces orontii	PARA	Obligate	Endophyte		Biotrophic	Powdery mildew	Phytopathogen	https://doi.org/10.1016/B978-0-12-397940-7.00004-5	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4707498/pdf/srep19149.pdf	https://doi.org/10.1038/srep19149		Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Erysiphales/f_Erysiphaceae/g_Podosphaera	Podosphaera	Podosphaera xanthii	PARA	Obligate	Endophyte		Biotrophic	Powdery mildew	Phytopathogen	https://doi.org/10.1186/s12864-019-5938-0				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_/g_	Helotiales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_/g_Cadophora	Cadophora	Cadophora sp. DSE1049	PARA	Facultative	Endophyte		Hemibiotrophic	Wood-decay of grapevine	Phytopathogen	http://dx.doi.org/10.1016/j.funbio.2014.11.002	https://doi.org/10.1038/s41598-018-24686-4			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_/g_Phialocephala	Phialocephala	Phialocephala scopiformis + Phialocephala subalpina	PARA	Facultative	Endophyte		Hemibiotrophic		Phytopathogen	https://doi.org/10.1186/s12864-016-3369-8				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_/g_Rhynchosporium	Rhynchosporium	Rhynchosporium agropyri + Rhynchosporium commune + Rhynchosporium secalis	PARA	Obligate	Endophyte		Hemibiotrophic	barley and rye scald	Phytopathogen	https://doi.org/10.1111/j.1364-3703.2012.00811.x				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_Dermateaceae/g_	Dermateaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_Dermateaceae/g_Diplocarpon	Diplocarpon	Diplocarpon rosae	PARA	Obligate	Endophyte		Hemibiotrophic	rose black spot disease	Phytopathogen	https://doi.org/10.1016/j.funbio.2018.12.003	https://doi.org/10.1371/journal.pone.0185310			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_Dermateaceae/g_Marssonina	Marssonina	Marssonina brunnea + Marssonina coronariae	PARA	Obligate	Endophyte		Hemibiotrophic	Marssonina leaf spot	Phytopathogen	https://doi.org/10.1139/cjfr-2018-0152				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_Helotiaceae/g_Glarea	Glarea	Glarea lozoyensis	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_Hyaloscyphaceae/g_Hyaloscypha	Hyaloscypha	Hyaloscypha bicolor + Hyaloscypha variabilis	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_Leotiaceae/g_Pezoloma	Pezoloma	Pezoloma ericae	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_Rutstroemiaceae/g_Rutstroemia	Rutstroemia	Rutstroemia sp. NJR-2017a BBW + Rutstroemia sp. NJR-2017a BVV2 + Rutstroemia sp. NJR-2017a WRK4	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_Sclerotiniaceae/g_	Sclerotiniaceae		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_Sclerotiniaceae/g_Botrytis	Botrytis	Botrytis cinerea	PARA	Obligate	Endophyte		Necrotrophic	grey mould disease	Phytopathogen	https://doi.org/10.1111/j.1364-3703.2007.00417.x				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Leotiomycetes/o_Helotiales/f_Sclerotiniaceae/g_Sclerotinia	Sclerotinia	Sclerotinia borealis + Sclerotinia sclerotiorum	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Neolectomycetes/o_Neolectales/f_Neolectaceae/g_Neolecta	Neolecta	Neolecta irregularis	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Orbiliomycetes/o_Orbiliales/f_Orbiliaceae/g_	Orbiliaceae		PARA	Obligate					Nematode					Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Orbiliomycetes/o_Orbiliales/f_Orbiliaceae/g_Arthrobotrys	Arthrobotrys	Arthrobotrys oligospora	PARA	Obligate					Nematode	https://doi.org/10.1371/journal.ppat.1002179	https://doi.org/10.7554/eLife.20023			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Orbiliomycetes/o_Orbiliales/f_Orbiliaceae/g_Dactylellina	Dactylellina	Dactylellina haptotyla	PARA	Obligate					Nematode	https://doi.org/10.1016/j.fgb.2023.103782				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Orbiliomycetes/o_Orbiliales/f_Orbiliaceae/g_Drechslerella	Drechslerella	Drechslerella stenobrocha	PARA	Obligate					Nematode	https://doi.org/10.1186/1471-2164-15-114				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Pezizomycetes/o_Pezizales/f_/g_	Pezizales		Pluri- or multi-cellular											No
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Pezizomycetes/o_Pezizales/f_Morchellaceae/g_Morchella	Morchella	Morchella importuna	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Pezizomycetes/o_Pezizales/f_Pyronemataceae/g_Pyronema	Pyronema	Pyronema omphalodes	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Pezizomycetes/o_Pezizales/f_Tuberaceae/g_Tuber	Tuber	Tuber aestivum + Tuber borchii + Tuber melanosporum	Pluri- or multi-cellular	Multicellular fungus										No
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Pneumocystidomycetes/o_Pneumocystidales/f_Pneumocystidaceae/g_Pneumocystis	Pneumocystis	Pneumocystis carinii + Pneumocystis jirovecii + Pneumocystis murina	PARA	Facultative	Rare Infection			pneumonia	Multiple	https://doi.org/10.1128/IAI.00519-16				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_/g_	Saccharomycetales		SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_/g_Kuraishia	Kuraishia	Kuraishia capsulata	SAP							https://doi.org/10.1007/s00248-014-0479-1				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_/g_Nadsonia	Nadsonia	Nadsonia fulvescens	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Ascoideaceae/g_Ascoidea	Ascoidea	Ascoidea rubescens	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Debaryomycetaceae/g_	Debaryomycetaceae		SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Debaryomycetaceae/g_Babjeviella	Babjeviella	Babjeviella inositovora	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Debaryomycetaceae/g_Candida	Candida	Candida albicans + Candida maltosa + Candida orthopsilosis + Candida parapsilosis + Candida tropicalis	PARA	Facultative	Rare Infection			Candidiasis	Human	https://doi.org/10.4161/viru.22913				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Debaryomycetaceae/g_Debaryomyces	Debaryomyces	Debaryomyces hansenii	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Debaryomycetaceae/g_Hyphopichia	Hyphopichia	Hyphopichia burtonii	PARA	Facultative	Rare Infection			peritonitis	Human	https://doi.org/10.1016/j.mmcr.2021.06.005				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Debaryomycetaceae/g_Lodderomyces	Lodderomyces	Lodderomyces elongisporus	PARA	Facultative	Rare Infection			Candidiasis	Human	https://doi.org/10.1016/j.nmni.2018.07.004				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Debaryomycetaceae/g_Meyerozyma	Meyerozyma	Meyerozyma guilliermondii	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Debaryomycetaceae/g_Millerozyma	Millerozyma	Millerozyma farinosa	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Debaryomycetaceae/g_Scheffersomyces	Scheffersomyces	Scheffersomyces stipitis	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Debaryomycetaceae/g_Spathaspora	Spathaspora	Spathaspora passalidarum	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Debaryomycetaceae/g_Suhomyces	Suhomyces	Suhomyces tanzawaensis	SAP							https://doi.org/10.1099/ijsem.0.004358				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Debaryomycetaceae/g_Yamadazyma	Yamadazyma	Yamadazyma tenuis	SAP							https://doi.org/10.1099/ijsem.0.000597				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Dipodascaceae/g_	Dipodascaceae		SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Dipodascaceae/g_Geotrichum	Geotrichum	Geotrichum candidum	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Dipodascaceae/g_Yarrowia	Yarrowia	Yarrowia alimentaria + Yarrowia lipolytica	SAP							https://doi.org/10.1016/j.mycmed.2017.04.068				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Lipomycetaceae/g_Lipomyces	Lipomyces	Lipomyces starkeyi	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Metschnikowiaceae/g_	Metschnikowiaceae		SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Metschnikowiaceae/g_Clavispora	Clavispora	Clavispora lusitaniae + [Candida] auris + [Candida] haemulonis + [Candida] intermedia	PARA	Facultative	Rare Infection				Human	https://doi.org/10.1186/s40168-019-0638-1				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Metschnikowiaceae/g_Metschnikowia	Metschnikowia	Metschnikowia bicuspidata	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Phaffomycetaceae/g_	Phaffomycetaceae		SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Phaffomycetaceae/g_Cyberlindnera	Cyberlindnera	Cyberlindnera fabianii + Cyberlindnera jadinii	PARA	Facultative	Rare Infection			Candidaemia	Human	https://doi.org/10.1093/mmy/myy148				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Phaffomycetaceae/g_Komagataella	Komagataella	Komagataella pastoris + Komagataella phaffii	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Phaffomycetaceae/g_Wickerhamomyces	Wickerhamomyces	Wickerhamomyces anomalus + Wickerhamomyces ciferrii	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Pichiaceae/g_	Pichiaceae		SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Pichiaceae/g_Brettanomyces	Brettanomyces	Brettanomyces bruxellensis	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Pichiaceae/g_Ogataea	Ogataea	Ogataea parapolymorpha + [Candida] arabinofermentans	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Pichiaceae/g_Pichia	Pichia	Pichia kudriavzevii + Pichia membranifaciens	SAP							https://doi.org/10.1016/B978-0-12-404609-2.00010-6				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_	Saccharomycetaceae		SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_Eremothecium	Eremothecium	Eremothecium cymbalariae	PARA	Facultative	Endophyte		Necrotrophic		Phytopathogen	https://doi.org/10.1016/B978-0-444-52149-1.00004-5				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_Kazachstania	Kazachstania	Kazachstania africana + Kazachstania naganishii + Kazachstania saulgeensis	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_Kluyveromyces	Kluyveromyces	Kluyveromyces dobzhanskii + Kluyveromyces lactis + Kluyveromyces marxianus	SAP						Grape					Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_Lachancea	Lachancea	Lachancea fermentati + Lachancea meyersii + Lachancea mirantina + Lachancea nothofagi + Lachancea quebecensis + Lachancea thermotolerans	SAP						Grape					Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_Nakaseomyces	Nakaseomyces	[Candida] glabrata	PARA	Facultative	Rare Infection				Human	https://doi.org/10.1093/femsyr/fov114	https://doi.org/10.3390/microorganisms7020039			Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_Naumovozyma	Naumovozyma	Naumovozyma castellii	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_Pachysolen	Pachysolen	Pachysolen tannophilus	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_Saccharomyces	Saccharomyces	Saccharomyces arboricola + Saccharomyces cerevisiae + Saccharomyces cerevisiae x Saccharomyces kudriavzevii + Saccharomyces kudriavzevii + Saccharomyces pastorianus	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_Tetrapisispora	Tetrapisispora	Tetrapisispora blattae + Tetrapisispora phaffii	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_Torulaspora	Torulaspora	Torulaspora delbrueckii	SAP						Grape					Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_Vanderwaltozyma	Vanderwaltozyma	Vanderwaltozyma polyspora	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycetaceae/g_Zygosaccharomyces	Zygosaccharomyces	Zygosaccharomyces parabailii + Zygosaccharomyces rouxii	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Saccharomycodaceae/g_Hanseniaspora	Hanseniaspora	Hanseniaspora guilliermondii + Hanseniaspora opuntiae + Hanseniaspora osmophila + Hanseniaspora uvarum + Hanseniaspora valbyensis	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Trichomonascaceae/g_	Trichomonascaceae		SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Trichomonascaceae/g_Blastobotrys	Blastobotrys	Blastobotrys adeninivorans	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Trichomonascaceae/g_Sugiyamaella	Sugiyamaella	Sugiyamaella lignohabitans	SAP		Endophyte									Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Trichomonascaceae/g_Wickerhamiella	Wickerhamiella	Wickerhamiella sorbophila	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Saccharomycetes/o_Saccharomycetales/f_Trigonopsidaceae/g_Tortispora	Tortispora	Tortispora caseinolytica	SAP		Endophyte									Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Schizosaccharomycetes/o_Schizosaccharomycetales/f_Schizosaccharomycetaceae/g_Schizosaccharomyces	Schizosaccharomyces	Schizosaccharomyces cryophilus + Schizosaccharomyces japonicus + Schizosaccharomyces octosporus + Schizosaccharomyces pombe	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_/f_/g_	Sordariomycetes		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Coniochaetales/f_Coniochaetaceae/g_Coniochaeta	Coniochaeta	Coniochaeta ligniaria	SAP		Endophyte					https://doi.org/10.1007/s13199-013-0249-8				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Diaporthales/f_/g_	Diaporthales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Diaporthales/f_Cryphonectriaceae/g_Cryphonectria	Cryphonectria	Cryphonectria parasitica	PARA	Obligate	Endophyte		Necrotrophic	chestnut blight	Phytopathogen	https://doi.org/10.1111/mpp.12542				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Diaporthales/f_Diaporthaceae/g_Diaporthe	Diaporthe	Diaporthe ampelina + Diaporthe helianthi	PARA	Facultative	Endophyte		Hemibiotrophic	Phomopsis cane and leaf spot	Phytopathogen	https://doi.org/10.1007/s00122-018-3070-1				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Diaporthales/f_Juglanconidaceae/g_Juglanconis	Juglanconis	Juglanconis juglandina	PARA	Facultative	Endophyte		Hemibiotrophic		Phytopathogen	https://doi.org/10.1111/efp.12537				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Diaporthales/f_Schizoparmaceae/g_Coniella	Coniella	Coniella lustricola	SAP		Endophyte					https://doi.org/10.1007/s11557-017-1337-6				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Diaporthales/f_Valsaceae/g_Valsa	Valsa	Valsa mali	PARA	Obligate	Endophyte		Necrotrophic	Canker	Phytopathogen	https://doi.org/10.3389/fmicb.2018.00821				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Glomerellales/f_/g_	Glomerellales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Glomerellales/f_Glomerellaceae/g_Colletotrichum	Colletotrichum	Colletotrichum chlorophyti + Colletotrichum fioriniae + Colletotrichum fructicola + Colletotrichum gloeosporioides + Colletotrichum graminicola + Colletotrichum higginsianum + Colletotrichum incanum + Colletotrichum nymphaeae + Colletotrichum orbiculare + Colletotrichum orchidophilum + Colletotrichum simmondsii + Colletotrichum sublineola + Colletotrichum tofieldiae	PARA	Obligate	Endophyte		Hemibiotrophic	Anthracnose diseases	Phytopathogen	https://doi.org/10.3114/sim0014				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Glomerellales/f_Plectosphaerellaceae/g_Verticillium	Verticillium	Verticillium alfalfae + Verticillium dahliae + Verticillium longisporum	PARA	Obligate	Endophyte		Biotrophic	Verticillium stripe disease	Phytopathogen	https://doi.org/10.1094/PDIS-07-18-1272-RE				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_/g_	Hypocreales		NA											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_/g_Acremonium	Acremonium	Acremonium chrysogenum	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_/g_Ustilaginoidea	Ustilaginoidea	Ustilaginoidea virens	PARA	Facultative	Endophyte		Biotrophic	rice false smut disease	Phytopathogen	https://doi.org/10.1016/j.rsci.2018.10.007				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Bionectriaceae/g_Clonostachys	Clonostachys	Clonostachys rosea	PARA	Facultative	Endophyte		Necrotrophic		Nematode/Fungi	https://doi.org/10.3389/fmicb.2022.851000				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Bionectriaceae/g_Kallichroma	Kallichroma	Kallichroma tethys	SAP											Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Clavicipitaceae/g_	Clavicipitaceae		PARA	Obligate										Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Clavicipitaceae/g_Claviceps	Claviceps	Claviceps purpurea	PARA	Obligate	Endophyte		Biotrophic	ergot	Phytopathogen	https://doi.org/10.1111/j.1364-3703.2009.00548.x				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Clavicipitaceae/g_Epichloe	Epichloe	Epichloe hybrida	PARA	Obligate	Endophyte					https://doi.org/10.1080/00275514.2017.1406174				Yes
Eukaryota/d_Opisthokonta/k_Fungi/p_Ascomycota/c_Sordariomycetes/o_Hypocreales/f_Clavicipitaceae/g_Metarhizium	Metarhizium	Metarhizium acridum + Metarhizium album + Metarhizium anisopliae + Metarhizium guizhouense + Metarhizium majus + Metarhizium rileyi + Metarhizium robertsii	PARA	Obligate					Insects	https://doi.org/10.1665/034.025.0204				Yes
